customer_id,satisfaction_score,survey_date,tier,points
C084,8.0,2023-12-01,,
C054,6.0,2023-12-02,Silver,8763.0
C071,4.0,2023-12-03,Gold,5802.0
C046,3.0,2023-12-04,Bronze,1400.0
C045,7.0,2023-12-05,Gold,5421.0
C040,3.0,2023-12-06,,
C023,1.0,2023-12-07,,
C081,9.0,2023-12-08,,
C011,4.0,2023-12-09,,
C001,10.0,2023-12-10,Silver,6329.0
C019,8.0,2023-12-11,,
C031,3.0,2023-12-12,Gold,9085.0
C074,5.0,2023-12-13,,
C034,10.0,2023-12-14,Bronze,8250.0
C091,8.0,2023-12-15,Silver,7714.0
C005,3.0,2023-12-16,Silver,7656.0
C077,5.0,2023-12-17,Silver,1427.0
C078,6.0,2023-12-18,Silver,6009.0
C013,3.0,2023-12-19,Gold,1919.0
C032,5.0,2023-12-20,Silver,8720.0
C056,2.0,2023-12-21,,
C089,4.0,2023-12-22,Silver,4509.0
C027,8.0,2023-12-23,Platinum,1072.0
C043,9.0,2023-12-24,Platinum,2249.0
C070,3.0,2023-12-25,Bronze,2618.0
C016,2.0,2023-12-26,,
C041,6.0,2023-12-27,,
C097,1.0,2023-12-28,,
C010,9.0,2023-12-29,Platinum,6090.0
C073,3.0,2023-12-30,Bronze,3301.0
C012,4.0,2023-12-31,Platinum,8234.0
C048,3.0,2024-01-01,,
C086,2.0,2024-01-02,Silver,9807.0
C029,5.0,2024-01-03,Platinum,9642.0
C094,10.0,2024-01-04,,
C006,6.0,2024-01-05,Silver,6832.0
C067,1.0,2024-01-06,,
C066,7.0,2024-01-07,Platinum,2140.0
C036,6.0,2024-01-08,Silver,3008.0
C017,8.0,2024-01-09,Bronze,2367.0
C050,8.0,2024-01-10,,
C035,9.0,2024-01-11,,
C008,5.0,2024-01-12,,
C096,5.0,2024-01-13,Gold,4698.0
C028,1.0,2024-01-14,,
C020,6.0,2024-01-15,Gold,6851.0
C082,7.0,2024-01-16,Bronze,2692.0
C026,8.0,2024-01-17,,
C063,1.0,2024-01-18,Gold,5315.0
C014,6.0,2024-01-19,,
C009,,,Gold,4539.0
C083,,,Gold,6336.0
C064,,,Bronze,4121.0
C051,,,Gold,9730.0
C024,,,Gold,8570.0
C061,,,Bronze,427.0
C025,,,Silver,2521.0
C039,,,Platinum,3641.0
C057,,,Gold,2248.0
C076,,,Gold,1811.0
C030,,,Silver,8052.0
C092,,,Platinum,2389.0
C042,,,Gold,2143.0
C022,,,Gold,3035.0
C085,,,Gold,5377.0
C088,,,Platinum,1001.0
C098,,,Platinum,6887.0
C021,,,Platinum,2610.0
C090,,,Bronze,1990.0
C038,,,Silver,3705.0
C060,,,Silver,7621.0
C002,,,Platinum,4897.0
C075,,,Platinum,1094.0
C080,,,Gold,8955.0
C015,,,Gold,5695.0
C055,,,Silver,9535.0
C052,,,Bronze,2138.0
C007,,,Bronze,8586.0
C099,,,Bronze,4805.0
C044,,,Bronze,1075.0
